umur,jenis_kelamin,pekerjaan,stress_level_1_5,penyebab_stres,durasi_stres,kualitas_tidur_1_5,durasi_tidur_jam,waktu_luang_mnt,aktivitas_fisik_mnt,preferensi_olahraga,preferensi_baca,preferensi_jurnal,komitmen_hari_per_minggu,tujuan_utama,anxiety_score,depression_score,self_esteem_score,study_load_1_5,peer_pressure_1_5,social_support_1_5,future_concern_1_5,aktivitas_dipilih,durasi_menit,source
25,Male,Accountant,3,Sosial,2-4 minggu,2,7.3,164,63,4,4,2,5,Tidur Lebih Baik,7,12,22,3,2,4,2,membaca,45,StudentCopingMechanisms
27,Female,Student,1,Keuangan,<1 minggu,5,8.5,180,75,3,3,1,1,Menenangkan Pikiran,1,1,26,1,1,5,1,membaca,45,StudentCopingMechanisms
27,Female,Student,4,Akademik,2-4 minggu,3,6.2,151,45,3,3,4,7,Lebih Produktif,3,8,23,2,3,4,4,journaling,20,StudentCopingMechanisms
17,Female,Student,3,Sosial,1-2 minggu,3,5.9,180,52,3,1,3,3,Lebih Produktif,5,10,20,1,1,2,5,journaling,15,StudentStressFactors
31,Male,Sales Representative,3,Pekerjaan,2-4 minggu,2,7.5,188,48,3,2,3,4,Mengurangi Stres,11,9,16,2,2,2,3,journaling,20,StudentStressFactors
55,Male,Entrepreneur,4,Keuangan,1-2 minggu,3,6.7,168,54,2,3,4,5,Mengurangi Stres,14,11,15,3,4,2,4,journaling,20,StudentStressFactors
37,Female,Accountant,4,Pekerjaan,1-2 minggu,3,6.5,115,57,2,4,3,5,Mengurangi Stres,10,14,16,3,5,1,5,membaca,60,SleepHealthLifestyle
42,Male,Doctor,4,Pekerjaan,>1 bulan,2,5.7,122,35,3,4,4,5,Tidur Lebih Baik,5,8,12,1,4,3,4,membaca,45,SleepHealthLifestyle
22,Male,Student,4,Akademik,2-4 minggu,3,6.5,147,45,4,4,3,6,Mengurangi Stres,4,5,24,2,3,3,4,olahraga,60,StudentCopingMechanisms
46,Male,Accountant,3,Akademik,1-2 minggu,3,7.5,161,46,3,3,1,5,Meningkatkan Energi,5,11,18,3,4,4,3,membaca,60,SleepHealthLifestyle
22,Female,Student,3,Sosial,2-4 minggu,2,7.3,150,44,3,4,1,6,Mengurangi Stres,10,10,21,2,4,4,4,membaca,60,StudentCopingMechanisms
26,Female,Student,1,Lainnya,1-2 minggu,5,8.5,180,75,3,2,2,2,Lebih Produktif,2,1,29,1,1,5,1,olahraga,20,StudentCopingMechanisms
23,Female,Student,4,Akademik,>1 bulan,3,7.0,109,20,3,3,3,5,Tidur Lebih Baik,6,9,18,3,3,3,4,membaca,45,StudentCopingMechanisms
33,Male,Teacher,2,Pekerjaan,<1 minggu,3,7.9,200,73,4,3,2,3,Menenangkan Pikiran,5,8,24,3,3,4,3,olahraga,45,StudentStressFactors
18,Male,Student,1,Akademik,2-4 minggu,5,6.7,180,41,4,3,3,2,Meningkatkan Energi,13,1,11,3,5,2,3,olahraga,20,StudentStressFactors
21,Female,Student,2,Lainnya,1-2 minggu,5,8.2,180,75,4,2,2,3,Meningkatkan Energi,0,3,24,1,1,4,1,olahraga,30,StudentCopingMechanisms
29,Male,Doctor,4,Pekerjaan,1-2 minggu,3,6.9,167,23,1,2,2,4,Mengurangi Stres,12,8,16,5,3,2,5,membaca,45,StudentCopingMechanisms
24,Male,Student,5,Akademik,1-2 minggu,2,5.5,83,20,2,4,3,7,Tidur Lebih Baik,9,8,15,4,4,1,4,membaca,30,StudentCopingMechanisms
22,Female,Student,4,Keuangan,2-4 minggu,1,6.0,152,55,3,3,4,7,Tidur Lebih Baik,13,13,18,4,3,3,5,journaling,20,StudentStressFactors
23,Male,Student,3,Keuangan,<1 minggu,2,8.2,151,64,4,3,1,6,Tidur Lebih Baik,11,4,24,4,4,4,4,olahraga,60,SleepHealthLifestyle
19,Male,Student,2,Keuangan,1-2 minggu,4,7.0,190,65,3,3,1,3,Lebih Produktif,4,7,23,2,2,4,3,membaca,30,StudentCopingMechanisms
29,Male,Software Engineer,4,Pekerjaan,2-4 minggu,1,8.2,151,37,4,3,3,5,Tidur Lebih Baik,13,11,19,5,4,3,4,olahraga,60,SleepHealthLifestyle
